Fecha,Efeméride
0101,Año Nuevo
0201,Día Internacional del Policía
0301,Día Internacional del Abogado
0401,Día Mundial del Braille
0501,"Creación del primer ojo artificial, en Japón"
0601,Día de los Reyes Magos
0701,1643 Descubrimiento del coronavirus COVID-19
0801,Internacional del Mijo
1001,Día Mundial de la Gente Peculiar
1101,Día Internacional del Agradecimiento
1201,Día Internacional de Besar a un Pelirrojo
1301,Día Mundial de Lucha contra la Depresión
1401,Día Internacional de la Cometa
1501,Día Mundial de la Religión
1601,Día Internacional de The Beatles
1701,Día Mundial de Bendecir a los Animales
1801,Día de Martin Luther King
1901,Mundial de la Nieve
2001,Día Mundial del Pingüino
2101,Día Internacional del Abrazo
2201,Día Internacional del Abrazo
2301,Día del Mariachi
2401,Día del Mariachi
2501,Día del Mariachi
2601,Día del Biólogo
2701,Día Internacional de Conmemoración en memoria de las víctimas del Holocausto
2801,Día del Nutriólogo
2901,Día Mundial contra la Lepra
3001,Día Mundial de la No Violencia y la Paz
3101,Día Internacional del Mago
0102,Día Mundial del Galgo
0202,Día Mundial de los Humedales
0302,Día Internacional del Abogado
0402,Día Mundial de la lucha contra el Cáncer
0502,Día Mundial del Hombre del Tiempo
0602,Día Internacional de Tolerancia Cero con la Mutilación Genital Femenina
0702,Día Internacional de Internet Seguro
0802,Día Mundial de la Nutella
0902,Día Mundial de la Pizza
1002,Día Mundial de las Legumbres
1102,Día Internacional de las Mujeres y las Niñas en la Ciencia
1202,Día Internacional contra el Uso de Niños Soldado
1302,Día Mundial de la Radio
1402,Día del Amor y la Amistad
1502,Día Internacional del Niño con cáncer
1602,Día de los Amores Imposibles
1702,Día Mundial de la Motricidad Orofacial
1802,Día Internacional del Síndrome de Asperger
1902,Día Internacional Contra la Homofobia en el Fútbol
2002,Día Mundial de la Justicia Social
2102,Día internacional de la lengua materna
2202,Día Mundial de la Igualdad Salarial
2302,Día de la Bandera
2402,Día Internacional del Implante Coclear
2502,Día de la Cruz Roja Mexicana
2602,Día Internacional del Oso Polar
2702,Día Mundial de las Enfermedades Raras
2802,Día Mundial de las Enfermedades Raras
2902,Día de la Cruz Roja Mexicana
0103,Día Internacional de la Protección Civil
0203,Muere Josefa Ortíz de Domínguez
0303,Día Internacional del la Audición
0403,Día de la Obesidad
0403,Día Internacional de la Concienciación sobre el Virus del Papiloma Humano
0503,Día Mundial de la Eficiencia Energética
0803,Día Internacional de la Mujer
1403,Día Internacional de las Matemáticas
1503,Día del Trabajo Social
1703,Día Mundial del Submarino
1803,Aniversario de la Expropiación Petrolera
2003,Día Internacional de la Felicidad
2003,Día Mundial de la Salud Bucodental
2103,Día Mundial del Síndrome de Down
2203,Día Mundial del Agua
2803,Día Mundial de la Hamburguesa
3003,Día del Lápiz
3103,Día del Taco
0104,Día Mundial de la Concientización del Autismo
0204,Día Mundial de la Concientización del Autismo
0304,Día Mundial del Arcoíris
0704,Día Mundial de la Salud
0904,Día Mundial del Unicornio
2104,Día de la Educadora
2204,Día Internacional de la Madre Tierra
2304,Día Mundial del Libro
2504,Día Internacional del ADN
2804,Día del Superhéroe
2904,Día Internacional del Perro Guía
3004,Día del Niño
0105,Día del Trabajo
0205,Día Contra el Bullying
0305,Día Internacional de la Libertad de Prensa
0405,Día Mundial del Asma
0505,Batalla de Puebla
0605,Día Mundial del Acordeón
0705,Día Mundial de los Huérfanos del SIDA
0805,Día de la victoria para los aliados en la Segunda Guerra Mundial
0905,Día de Europa
1005,Día de las madres
1105,Día Mundial del Comercio Justo
1205,Día Internacional de la Enfermería
1305,Día Mundial de las Aves Migratorias
1405,Día mundial del comercio justo
